ds,y
5/11/2011,50192.94359999991
5/12/2011,90467.07470000029
5/13/2011,46423.54569999991
5/15/2011,14985.662800000024
5/16/2011,38172.45269999986
5/17/2011,80941.78330000004
5/18/2011,51849.30789999992
5/19/2011,51866.61250000005
5/20/2011,39647.34519999998
5/22/2011,36550.10870000004
5/23/2011,46416.72049999997
5/24/2011,55913.654099999556
5/25/2011,36469.94279999996
5/26/2011,50144.97089999994
5/27/2011,42630.60689999995
5/29/2011,10884.532999999985
5/3/2011,29622.96860000001
5/31/2011,33171.61960000001
5/4/2011,41468.0729999999
5/5/2011,43413.48149999996
5/6/2011,53929.015799999615
5/8/2011,28401.469200000054
5/9/2011,39351.249299999916
6/1/2011,30488.71200000001
6/10/2011,34036.396599999935
6/12/2011,18850.628599999975
6/13/2011,30763.124300000058
6/14/2011,60720.01429999986
6/15/2011,69670.1617999997
6/16/2011,51538.912299999814
6/17/2011,31409.087199999958
6/19/2011,33763.61510000002
6/2/2011,49078.0350999999
6/20/2011,50575.033999999694
6/21/2011,34322.315099999825
6/22/2011,32910.359399999965
6/23/2011,36652.69809999996
6/24/2011,13016.018799999969
6/26/2011,9324.506699999985
6/27/2011,25404.028600000034
6/28/2011,52404.00639999998
6/29/2011,32880.89929999997
6/3/2011,25294.00999999999
6/30/2011,66190.1705
6/5/2011,38535.72850000002
6/6/2011,25354.998899999984
6/7/2011,56842.892999999865
6/8/2011,64840.77409999965
6/9/2011,68728.7824999999
7/1/2011,19889.44819999999
7/10/2011,8595.025699999993
7/11/2011,33868.59030000005
7/12/2011,39096.980399999986
7/13/2011,17534.19550000009
7/14/2011,49189.6996
7/15/2011,21863.18430000001
7/17/2011,25933.736599999993
7/18/2011,42949.33769999982
7/19/2011,74468.33780000028
7/20/2011,41231.1690999997
7/21/2011,46745.17570000009
7/22/2011,30222.99730000001
7/24/2011,39979.061999999954
7/25/2011,40298.35149999975
7/26/2011,32119.66450999998
7/27/2011,38608.35949999987
7/28/2011,84117.38880000003
7/29/2011,27322.25709999997
7/3/2011,9025.481399999988
7/31/2011,50564.40360000008
7/4/2011,66673.67249999971
7/5/2011,60905.80469999945
7/6/2011,39682.16579999985
7/7/2011,47350.15719999976
7/8/2011,40528.5207999998
8/1/2011,32257.888399999956
8/10/2011,41486.07219999977
8/11/2011,108920.51290000013
8/12/2011,15174.714800000043
8/14/2011,7776.771800000002
8/15/2011,25980.365399999995
8/16/2011,28846.60210000001
8/17/2011,74582.25219999994
8/18/2011,80370.76170000008
8/19/2011,26045.295399999988
8/2/2011,22570.377699999957
8/21/2011,21969.307099999987
8/22/2011,42247.39910000009
8/23/2011,38892.01299999994
8/24/2011,55983.09900000019
8/25/2011,33912.90879999999
8/26/2011,38580.84730000013
8/28/2011,16285.01779999997
8/3/2011,40883.28019999986
8/30/2011,47777.75899999967
8/31/2011,24338.180000000033
8/4/2011,92153.26149999989
8/5/2011,32160.433000000026
8/7/2011,11270.821199999993
8/8/2011,30180.596500000036
8/9/2011,40201.031999999956
9/1/2011,56317.86600000005
9/11/2011,53552.85969999988
9/12/2011,43849.35810000004
9/13/2011,82790.95950000013
9/14/2011,35274.59659999993
9/15/2011,95045.15310000005
9/16/2011,39045.67060000012
9/18/2011,23695.418300000038
9/19/2011,69780.43709999992
9/2/2011,63035.05569999988
9/20/2011,165022.17710000157
9/21/2011,64845.54569999947
9/22/2011,86186.01330000043
9/23/2011,59533.98479999982
9/25/2011,47128.49071000011
9/26/2011,43249.829209999894
9/27/2011,53985.76160000004
9/28/2011,65508.39039999945
9/29/2011,65631.13830000012
9/30/2011,66429.20349999997
9/4/2011,25697.919900000037
9/5/2011,55634.50039999991
9/6/2011,42359.45620000004
9/7/2011,51529.73149999978
9/8/2011,40329.07999999989
9/9/2011,44269.71190000008
